graphcode,max,min,difference,percentage_change,GDI,RGD,A,B
1,2202,1979,223,0.112683173,500,0.506357856,accurate,misleading
2,28,17,11,0.647058824,500,1.964285714,misleading,accurate
3,365.26,224.7,140.56,0.625545171,500,1.924108854,accurate,misleading
4,38,33,5,0.151515152,500,0.657894737,misleading,accurate
5,48712,34891,13821,0.396119343,500,1.418644277,accurate,misleading
6,2.48,1.8,0.68,0.377777778,500,1.370967742,misleading,accurate
7,88.9,86,2.9,0.03372093,500,0.163104612,accurate,misleading
8,645,270,375,1.388888889,500,2.906976744,misleading,accurate
9,800,482,318,0.659751037,500,1.9875,accurate,misleading
10,13e3,8858,4142,0.46759991,500,1.593076923,misleading,accurate
11,7196,6331,865,0.136629284,500,0.601028349,accurate,misleading
12,75,63,12,0.19047619,500,0.8,misleading,accurate
13,55,42,13,0.30952381,500,1.181818182,accurate,misleading
14,15.5,14,1.5,0.107142857,500,0.483870968,misleading,accurate
15,5.95,2.74,3.21,1.171532847,500,2.697478992,accurate,misleading
16,30,25,5,0.2,500,0.833333333,misleading,accurate
17,0.98,0.95,0.03,0.031578947,500,0.153061224,accurate,misleading
18,215,181,34,0.187845304,500,0.790697674,misleading,accurate
19,7.67,3.46,4.21,1.216763006,500,2.744458931,accurate,misleading
20,10.2,6.4,3.8,0.59375,500,1.862745098,misleading,accurate
21,56,27,29,1.074074074,500,2.589285714,accurate,misleading
22,29,28,1,0.035714286,500,0.172413793,misleading,accurate
23,121212,71552,49660,0.694040698,500,2.048477048,accurate,misleading
24,85,60,25,0.416666667,500,1.470588235,misleading,accurate
25,3.9,2.5,1.4,0.56,500,1.794871795,accurate,misleading
26,19340,18510,830,0.044840627,500,0.214581179,misleading,accurate
27,5,4,1,0.25,500,1,accurate,misleading
28,8.4,6.1,2.3,0.37704918,500,1.369047619,misleading,accurate
29,92,89,3,0.033707865,500,0.163043478,accurate,misleading
30,16,10,6,0.6,500,1.875,misleading,accurate
31,87.8,57.3,30.5,0.532286213,500,1.73690205,accurate,misleading
32,11.9,8.2,3.7,0.451219512,500,1.5546218489999999,misleading,accurate
33,43,36,7,0.194444444,500,0.813953488,accurate,misleading
34,5.5,4.8,0.7,0.145833333,500,0.636363636,misleading,accurate
35,2.7,2.5,0.2,0.08,500,0.37037037,accurate,misleading
36,800,310,490,1.580645161,500,3.0625,misleading,accurate
37,450,420,30,0.071428571,500,0.333333333,accurate,misleading
38,27.7,16.5,11.2,0.678787879,500,2.02166065,misleading,accurate
39,62,43,19,0.441860465,500,1.532258065,accurate,misleading
40,74,73,1,0.01369863,500,0.067567568,misleading,accurate
41,25.8,9.3,16.5,1.774193548,500,3.197674419,NA,NA
42,7.2,7,0.2,0.028571429,500,0.138888889,NA,NA
43,1.66,1.18,0.48,0.406779661,500,1.445783133,NA,NA
44,1470.6,725.3,745.3,1.027574797,500,2.533999728,NA,NA
45,54.5,49,5.5,0.112244898,500,0.504587156,NA,NA
46,74562,53069,21493,0.405001036,500,1.441283764,NA,NA
47,35.9,13.7,22.2,1.620437956,500,3.091922006,NA,NA
48,24,17,7,0.411764706,500,1.458333333,NA,NA
49,14727,13198,1529,0.115850886,500,0.519114552,NA,NA
50,72.23,53.74,18.49,0.344064012,500,1.279939083,NA,NA
51,780,674,106,0.15727003,500,0.679487179,NA,NA
52,7.4,6.42,0.98,0.152647975,500,0.662162162,NA,NA
53,9.72,7.3,2.42,0.331506849,500,1.244855967,NA,NA
54,8,7,1,0.142857143,500,0.625,NA,NA
55,3.3,3.1,0.2,0.064516129,500,0.303030303,NA,NA
56,20,18,2,0.111111111,500,0.5,NA,NA
57,30,13,17,1.307692308,500,2.833333333,NA,NA
58,9.4,7.6,1.8,0.236842105,500,0.957446809,NA,NA
59,26744,13172,13572,1.030367446,500,2.537391564,NA,NA
60,15630,15581,49,0.003144856,500,0.015674984,NA,NA
61,24.9,22.5,2.4,0.106666667,500,0.481927711,NA,NA
